Macrotrends Data Download

Nigeria Birth Rate 1950-2024
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Births per 1000 People, Annual % Change
1950-12-31,46.007
1951-12-31,46.048,0.09
1952-12-31,46.09,0.09
1953-12-31,46.132,0.09
1954-12-31,46.174,0.09
1955-12-31,46.216,0.09
1956-12-31,46.257,0.09
1957-12-31,46.299,0.09
1958-12-31,46.341,0.09
1959-12-31,46.32,-0.05
1960-12-31,46.3,-0.04
1961-12-31,46.279,-0.05
1962-12-31,46.259,-0.04
1963-12-31,46.238,-0.05
1964-12-31,46.155,-0.18
1965-12-31,46.071,-0.18
1966-12-31,45.988,-0.18
1967-12-31,45.904,-0.18
1968-12-31,45.821,-0.18
1969-12-31,46.043,0.48
1970-12-31,46.264,0.48
1971-12-31,46.486,0.48
1972-12-31,46.707,0.48
1973-12-31,46.929,0.48
1974-12-31,46.991,0.13
1975-12-31,47.053,0.13
1976-12-31,47.116,0.13
1977-12-31,47.178,0.13
1978-12-31,47.24,0.13
1979-12-31,47.065,-0.37
1980-12-31,46.891,-0.37
1981-12-31,46.716,-0.37
1982-12-31,46.542,-0.37
1983-12-31,46.367,-0.38
1984-12-31,46.079,-0.62
1985-12-31,45.79,-0.63
1986-12-31,45.502,-0.63
1987-12-31,45.213,-0.64
1988-12-31,44.925,-0.64
1989-12-31,44.69,-0.52
1990-12-31,44.455,-0.53
1991-12-31,44.221,-0.53
1992-12-31,43.986,-0.53
1993-12-31,43.751,-0.53
1994-12-31,43.656,-0.22
1995-12-31,43.561,-0.22
1996-12-31,43.465,-0.22
1997-12-31,43.37,-0.22
1998-12-31,43.275,-0.22
1999-12-31,43.211,-0.15
2000-12-31,43.147,-0.15
2001-12-31,43.084,-0.15
2002-12-31,43.02,-0.15
2003-12-31,42.956,-0.15
2004-12-31,42.753,-0.47
2005-12-31,42.551,-0.47
2006-12-31,42.348,-0.48
2007-12-31,42.146,-0.48
2008-12-31,41.943,-0.48
2009-12-31,41.658,-0.68
2010-12-31,41.374,-0.68
2011-12-31,41.089,-0.69
2012-12-31,40.805,-0.69
2013-12-31,40.52,-0.7
2014-12-31,40.036,-1.19
2015-12-31,39.551,-1.21
2016-12-31,39.067,-1.22
2017-12-31,38.582,-1.24
2018-12-31,38.098,-1.25
2019-12-31,37.684,-1.09
2020-12-31,37.269,-1.1
2021-12-31,36.855,-1.11
2022-12-31,36.44,-1.13
2023-12-31,36.026,-1.14
2024-12-31,35.683,-0.95
2025-12-31,35.341,-0.96
2026-12-31,34.998,-0.97
2027-12-31,34.656,-0.98
2028-12-31,34.313,-0.99
2029-12-31,33.989,-0.94
2030-12-31,33.666,-0.95
2031-12-31,33.342,-0.96
2032-12-31,33.019,-0.97
2033-12-31,32.695,-0.98
2034-12-31,32.363,-1.02
2035-12-31,32.031,-1.03
2036-12-31,31.698,-1.04
2037-12-31,31.366,-1.05
2038-12-31,31.034,-1.06
2039-12-31,30.688,-1.11
2040-12-31,30.343,-1.12
2041-12-31,29.997,-1.14
2042-12-31,29.652,-1.15
2043-12-31,29.306,-1.17
2044-12-31,28.954,-1.2
2045-12-31,28.602,-1.22
2046-12-31,28.25,-1.23
2047-12-31,27.898,-1.25
2048-12-31,27.546,-1.26
2049-12-31,27.238,-1.12
2050-12-31,26.929,-1.13
2051-12-31,26.621,-1.14
2052-12-31,26.312,-1.16
2053-12-31,26.004,-1.17
2054-12-31,25.704,-1.15
2055-12-31,25.403,-1.17
2056-12-31,25.103,-1.18
2057-12-31,24.802,-1.2
2058-12-31,24.502,-1.21
2059-12-31,24.239,-1.07
2060-12-31,23.977,-1.08
2061-12-31,23.714,-1.1
2062-12-31,23.452,-1.1
2063-12-31,23.189,-1.12
2064-12-31,22.945,-1.05
2065-12-31,22.701,-1.06
2066-12-31,22.456,-1.08
2067-12-31,22.212,-1.09
2068-12-31,21.968,-1.1
2069-12-31,21.746,-1.01
2070-12-31,21.524,-1.02
2071-12-31,21.301,-1.04
2072-12-31,21.079,-1.04
2073-12-31,20.857,-1.05
2074-12-31,20.651,-0.99
2075-12-31,20.445,-1
2076-12-31,20.24,-1
2077-12-31,20.034,-1.02
2078-12-31,19.828,-1.03
2079-12-31,19.63,-1
2080-12-31,19.431,-1.01
2081-12-31,19.233,-1.02
2082-12-31,19.034,-1.03
2083-12-31,18.836,-1.04
2084-12-31,18.658,-0.94
2085-12-31,18.48,-0.95
2086-12-31,18.301,-0.97
2087-12-31,18.123,-0.97
2088-12-31,17.945,-0.98
2089-12-31,17.79,-0.86
2090-12-31,17.635,-0.87
2091-12-31,17.479,-0.88
2092-12-31,17.324,-0.89
2093-12-31,17.169,-0.89
2094-12-31,17.03,-0.81
2095-12-31,16.89,-0.82
2096-12-31,16.751,-0.82
2097-12-31,16.611,-0.84
2098-12-31,16.472,-0.84
2099-12-31,16.333,-0.84
2100-12-31,16.193,-0.86
