Macrotrends Data Download

Nigeria Population 1950-2024
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,37189369
1951-12-31,37903171,1.92
1952-12-31,38624425,1.9
1953-12-31,39347719,1.87
1954-12-31,40082479,1.87
1955-12-31,40839223,1.89
1956-12-31,41616571,1.9
1957-12-31,42413359,1.91
1958-12-31,43214753,1.89
1959-12-31,44044231,1.92
1960-12-31,44928342,2.01
1961-12-31,45855507,2.06
1962-12-31,46821845,2.11
1963-12-31,47822569,2.14
1964-12-31,48856332,2.16
1965-12-31,49925799,2.19
1966-12-31,51020296,2.19
1967-12-31,52106681,2.13
1968-12-31,53210119,2.12
1969-12-31,54360750,2.16
1970-12-31,55569264,2.22
1971-12-31,56837614,2.28
1972-12-31,58173834,2.35
1973-12-31,59605446,2.46
1974-12-31,61157931,2.6
1975-12-31,62851312,2.77
1976-12-31,64658315,2.88
1977-12-31,66589655,2.99
1978-12-31,68633344,3.07
1979-12-31,70750307,3.08
1980-12-31,72951439,3.11
1981-12-31,75175387,3.05
1982-12-31,77388067,2.94
1983-12-31,79351586,2.54
1984-12-31,81337553,2.5
1985-12-31,83585251,2.76
1986-12-31,85804185,2.65
1987-12-31,88044187,2.61
1988-12-31,90351467,2.62
1989-12-31,92744064,2.65
1990-12-31,95214257,2.66
1991-12-31,97685360,2.6
1992-12-31,100182045,2.56
1993-12-31,102775465,2.59
1994-12-31,105456121,2.61
1995-12-31,108187610,2.59
1996-12-31,110956183,2.56
1997-12-31,113791181,2.56
1998-12-31,116690527,2.55
1999-12-31,119695565,2.58
2000-12-31,122851984,2.64
2001-12-31,126152678,2.69
2002-12-31,129583026,2.72
2003-12-31,133119801,2.73
2004-12-31,136756848,2.73
2005-12-31,140490722,2.73
2006-12-31,144329764,2.73
2007-12-31,148294028,2.75
2008-12-31,152382506,2.76
2009-12-31,156595758,2.76
2010-12-31,160952853,2.78
2011-12-31,165463745,2.8
2012-12-31,170075932,2.79
2013-12-31,174726123,2.73
2014-12-31,179379016,2.66
2015-12-31,183995785,2.57
2016-12-31,188666931,2.54
2017-12-31,193495907,2.56
2018-12-31,198387623,2.53
2019-12-31,203304492,2.48
2020-12-31,208327405,2.47
2021-12-31,213401323,2.44
2022-12-31,218541212,2.41
2023-12-31,223804632,2.41
2024-12-31,229152217,2.39
2025-12-31,234573603,2.37
2026-12-31,240054483,2.34
2027-12-31,245599161,2.31
2028-12-31,251201204,2.28
2029-12-31,256866062,2.26
2030-12-31,262580426,2.22
2031-12-31,268333202,2.19
2032-12-31,274119414,2.16
2033-12-31,279925063,2.12
2034-12-31,285756014,2.08
2035-12-31,291591598,2.04
2036-12-31,297416662,2
2037-12-31,303246595,1.96
2038-12-31,309097424,1.93
2039-12-31,314949915,1.89
2040-12-31,320779660,1.85
2041-12-31,326599329,1.81
2042-12-31,332393067,1.77
2043-12-31,338154157,1.73
2044-12-31,343902355,1.7
2045-12-31,349603702,1.66
2046-12-31,355245595,1.61
2047-12-31,360853520,1.58
2048-12-31,366429556,1.55
2049-12-31,371960240,1.51
2050-12-31,377459883,1.48
2051-12-31,382907203,1.44
2052-12-31,388269433,1.4
2053-12-31,393553039,1.36
2054-12-31,398765112,1.32
2055-12-31,403930803,1.3
2056-12-31,409057341,1.27
2057-12-31,414134702,1.24
2058-12-31,419146599,1.21
2059-12-31,424079002,1.18
2060-12-31,428942394,1.15
2061-12-31,433771126,1.13
2062-12-31,438585987,1.11
2063-12-31,443332357,1.08
2064-12-31,447986080,1.05
2065-12-31,452547705,1.02
2066-12-31,456994203,0.98
2067-12-31,461366335,0.96
2068-12-31,465665250,0.93
2069-12-31,469857518,0.9
2070-12-31,473939499,0.87
2071-12-31,477911999,0.84
2072-12-31,481808242,0.82
2073-12-31,485629571,0.79
2074-12-31,489350340,0.77
2075-12-31,492948645,0.74
2076-12-31,496424780,0.71
2077-12-31,499794399,0.68
2078-12-31,503044220,0.65
2079-12-31,506183389,0.62
2080-12-31,509211428,0.6
2081-12-31,512127701,0.57
2082-12-31,514937044,0.55
2083-12-31,517626997,0.52
2084-12-31,520211231,0.5
2085-12-31,522685448,0.48
2086-12-31,525017922,0.45
2087-12-31,527226385,0.42
2088-12-31,529328742,0.4
2089-12-31,531318166,0.38
2090-12-31,533192461,0.35
2091-12-31,534963916,0.33
2092-12-31,536636123,0.31
2093-12-31,538189204,0.29
2094-12-31,539633792,0.27
2095-12-31,540970120,0.25
2096-12-31,542202605,0.23
2097-12-31,543330974,0.21
2098-12-31,544348046,0.19
2099-12-31,545269101,0.17
2100-12-31,546091662,0.15
